date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:08:21	1337/1337	---MCZ	404	error ('Not%20Found')	text/html	etag:1696019943-ssl-df	https://lxshopofficial.netlify.app/robots.txt		(from )
14:08:21	144923/144923	---MCZ	200	added ('OK')	text/html	etag:%2262320047ab32ee659e7e31f03389ad35-ssl-df%22	https://lxshopofficial.netlify.app/	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/index.html	(from )
14:08:27	366311/366311	---M--	200	added ('OK')	image/png	etag:%22f1bdc77ad3d14730a49642907e43c1c9-ssl%22	https://lxshopofficial.netlify.app/assets/img/updateindex.png	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/img/updateindex.png	(from https://lxshopofficial.netlify.app/)
14:08:34	41714/41714	---MCZ	200	added ('OK')	application/javascript	etag:W/%2273daad4953f9609a9f505ced27eb4b8f%22	https://static.elfsight.com/platform/platform.js	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/static.elfsight.com/platform/platform.js	(from https://lxshopofficial.netlify.app/)
14:08:34	806349/806349	---M--	200	added ('OK')	image/png	etag:%228bfe981d91dfbb2fef2447cbd89f0b46-ssl%22	https://lxshopofficial.netlify.app/assets/img/lxnegronew.png	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/img/lxnegronew.png	(from https://lxshopofficial.netlify.app/)
14:08:37	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%22ee61feff93cef5568ebb39efb2ebe3a1-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/aos/aos.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/aos/aos.css	(from https://lxshopofficial.netlify.app/)
14:08:40	163873/163873	---MCZ	200	added ('OK')	text/css	etag:%22a47f8d3166eda120f9bf0dd6c47720e7-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://lxshopofficial.netlify.app/)
14:08:43	65696/65696	---MCZ	200	added ('OK')	text/css	etag:%22f917347af573110c27267cb8e9236157-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://lxshopofficial.netlify.app/)
14:08:46	63235/63235	---MCZ	200	added ('OK')	text/css	etag:%22ad313ab15ddbfdc3c8703acf8ac889e5-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/boxicons/css/boxicons.min.css	(from https://lxshopofficial.netlify.app/)
14:08:50	13746/13746	---MCZ	200	added ('OK')	text/css	etag:%225d6c23a5fc12a12c6819b8594ff1ffdd-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/glightbox/css/glightbox.min.css	(from https://lxshopofficial.netlify.app/)
14:08:53	110438/110438	---MCZ	200	added ('OK')	text/css	etag:%2242ca6f3075c0f2904da4c6dd41bc3606-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/remixicon/remixicon.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/remixicon/remixicon.css	(from https://lxshopofficial.netlify.app/)
14:08:56	13871/13871	---MCZ	200	added ('OK')	text/css	etag:%223e25693ac34f063c13d21848798c1e39-ssl-df%22	https://lxshopofficial.netlify.app/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/vendor/swiper/swiper-bundle.min.css	(from https://lxshopofficial.netlify.app/)
14:09:00	57923/57923	---MCZ	200	added ('OK')	text/css	etag:%223592d35d024d4233b7efe9cb1224d13b-ssl-df%22	https://lxshopofficial.netlify.app/assets/css/style.css	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/css/style.css	(from https://lxshopofficial.netlify.app/)
14:09:03	87196/87196	---MCZ	200	added ('OK')	text/html	etag:%2227e1f6bb486fb50497b9760a08fdd72b-ssl-df%22	https://lxshopofficial.netlify.app/tiendalx	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/tiendalx.html	(from https://lxshopofficial.netlify.app/)
14:09:06	8603/8603	---MCZ	200	added ('OK')	text/html	etag:%22c8bbb72ba45a015c64d4552a1fede145-ssl-df%22	https://lxshopofficial.netlify.app/genpass	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/genpass.html	(from https://lxshopofficial.netlify.app/)
14:09:09	8884/8884	---MCZ	200	added ('OK')	text/html	etag:%22d0d91ec1a731e331a6cfc55ef3a09eed-ssl-df%22	https://lxshopofficial.netlify.app/appelation	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/appelation.html	(from https://lxshopofficial.netlify.app/)
14:09:12	7182/7182	---MCZ	200	added ('OK')	text/html	etag:%22c966713fc55cca5b23631035ae09a41a-ssl-df%22	https://lxshopofficial.netlify.app/sponsors	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/sponsors.html	(from https://lxshopofficial.netlify.app/)
14:09:15	15236/15236	---MCZ	200	added ('OK')	text/html	etag:%22d29da4677db1ad76c3b287a84d3d478d-ssl-df%22	https://lxshopofficial.netlify.app/webhookcontroller	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/webhookcontroller.html	(from https://lxshopofficial.netlify.app/)
14:09:18	7935/7935	---MCZ	200	added ('OK')	text/html	etag:%2201931358e833b83f46840c665490168a-ssl-df%22	https://lxshopofficial.netlify.app/generateqr	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/generateqr.html	(from https://lxshopofficial.netlify.app/)
14:09:22	31298/31298	---MCZ	200	added ('OK')	text/html	etag:%224900d3684c311a810c006420f79963f8-ssl-df%22	https://lxshopofficial.netlify.app/partners	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/partners.html	(from https://lxshopofficial.netlify.app/)
14:09:25	16269/16269	---MCZ	200	added ('OK')	text/html	etag:%2266e762684849a80c2c2c5f8e9860dbc4-ssl-df%22	https://lxshopofficial.netlify.app/donaciones	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/donaciones.html	(from https://lxshopofficial.netlify.app/)
14:09:28	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/code.jquery.com/jquery-3.4.1.min.js	(from https://lxshopofficial.netlify.app/)
14:09:31	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1696019943-ssl-df	https://lxshopofficial.netlify.app/assets/js/app.js	C:/Users/ciaoc/Desktop/locale/Clonare%20il%20sito%20web/lxshopofficial.netlify.app/assets/js/app.15.delayed	(from https://lxshopofficial.netlify.app/)
